ID                                    0xcc50
Delivery_person_ID             ALHRES20DEL01
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                25.454697
Restaurant_longitude               81.834492
Delivery_location_latitude         25.524697
Delivery_location_longitude        81.904492
Order_Date                        12-02-2022
Time_Orderd                            23:15
Time_Order_picked                      23:20
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   17.000000
Name: 19577, dtype: object
