ID                                     0xc11a
Delivery_person_ID             AURGRES13DEL02
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 19.880256
Restaurant_longitude                75.323503
Delivery_location_latitude          20.010256
Delivery_location_longitude         75.453503
Order_Date                         18-02-2022
Time_Orderd                               NaN
Time_Order_picked                       19:35
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    36.000000
Name: 33867, dtype: object
