ID                                    0x6dab
Delivery_person_ID             MUMRES12DEL01
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                19.207222
Restaurant_longitude               72.972281
Delivery_location_latitude         19.317222
Delivery_location_longitude        73.082281
Order_Date                        25-03-2022
Time_Orderd                            20:50
Time_Order_picked                      20:55
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   35.000000
Name: 29162, dtype: object
