ID                                    0xc09c
Delivery_person_ID             KNPRES07DEL01
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude               -26.472001
Restaurant_longitude               80.354002
Delivery_location_latitude         26.582001
Delivery_location_longitude        80.464002
Order_Date                        18-02-2022
Time_Orderd                            17:35
Time_Order_picked                      17:50
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 33611, dtype: object
