ID                                       0x33fd
Delivery_person_ID             RANCHIRES17DEL03
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   23.374878
Restaurant_longitude                  85.335739
Delivery_location_latitude            23.404878
Delivery_location_longitude           85.365739
Order_Date                           30-03-2022
Time_Orderd                               17:15
Time_Order_picked                         17:30
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 10842, dtype: object
