ID                                    0xba68
Delivery_person_ID             VADRES04DEL01
Delivery_person_Age                    27.00
Delivery_person_Ratings                 5.00
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.01
Delivery_location_longitude             0.01
Order_Date                        21-03-2022
Time_Orderd                            10:35
Time_Order_picked                      10:50
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       10.00
Name: 5813, dtype: object
