ID                                       0x6f8e
Delivery_person_ID                MYSRES04DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   12.308500
Restaurant_longitude                  76.665808
Delivery_location_latitude            12.318500
Delivery_location_longitude           76.675808
Order_Date                           13-03-2022
Time_Orderd                                8:40
Time_Order_picked                          8:55
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      14.000000
Name: 12244, dtype: object
