ID                                    0xd27f
Delivery_person_ID             KOCRES17DEL01
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                 9.959778
Restaurant_longitude               76.296106
Delivery_location_latitude          9.999778
Delivery_location_longitude        76.336106
Order_Date                        13-02-2022
Time_Orderd                            15:25
Time_Order_picked                      15:35
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   19.000000
Name: 12445, dtype: object
