ID                                      0xbddd
Delivery_person_ID             PUNERES010DEL03
Delivery_person_Age                  38.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  18.539299
Restaurant_longitude                 73.897902
Delivery_location_latitude           18.599299
Delivery_location_longitude          73.957902
Order_Date                          13-03-2022
Time_Orderd                              20:35
Time_Order_picked                        20:50
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     32.000000
Name: 44719, dtype: object
