ID                                       0x32aa
Delivery_person_ID                JAPRES11DEL01
Delivery_person_Age                   15.000000
Delivery_person_Ratings                1.000000
Restaurant_latitude                   26.902940
Restaurant_longitude                  75.793007
Delivery_location_latitude            26.912940
Delivery_location_longitude           75.803007
Order_Date                           09-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         10:05
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      19.000000
Name: 38092, dtype: object
