ID                                    0xc7f5
Delivery_person_ID             AGRRES17DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                27.157772
Restaurant_longitude               78.047250
Delivery_location_latitude         27.237772
Delivery_location_longitude        78.127250
Order_Date                        16-02-2022
Time_Orderd                              NaN
Time_Order_picked                      19:10
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   22.000000
Name: 42396, dtype: object
