ID                                       0x19fb
Delivery_person_ID               BANGRES07DEL01
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   12.978453
Restaurant_longitude                  77.643685
Delivery_location_latitude            13.048453
Delivery_location_longitude           77.713685
Order_Date                           31-03-2022
Time_Orderd                               18:25
Time_Order_picked                         18:30
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      25.000000
Name: 31797, dtype: object
