ID                                       0x5b7b
Delivery_person_ID             RANCHIRES03DEL02
Delivery_person_Age                       36.00
Delivery_person_Ratings                    4.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.05
Delivery_location_longitude                0.05
Order_Date                           21-03-2022
Time_Orderd                               22:60
Time_Order_picked                         23:15
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                                      Urban
Time_taken (min)                          19.00
Name: 44035, dtype: object
