ID                                       0x2f8b
Delivery_person_ID                SURRES16DEL02
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   21.160437
Restaurant_longitude                  72.774209
Delivery_location_latitude            21.180437
Delivery_location_longitude           72.794209
Order_Date                           01-04-2022
Time_Orderd                                9:20
Time_Order_picked                          9:25
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      17.000000
Name: 43285, dtype: object
