ID                                     0xc0e4
Delivery_person_ID             LUDHRES15DEL03
Delivery_person_Age                 25.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                -30.899584
Restaurant_longitude                75.809346
Delivery_location_latitude          30.959584
Delivery_location_longitude         75.869346
Order_Date                         15-02-2022
Time_Orderd                             21:10
Time_Order_picked                       21:25
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    29.000000
Name: 30839, dtype: object
