ID                                    0xdddd
Delivery_person_ID             DEHRES19DEL03
Delivery_person_Age                36.000000
Delivery_person_Ratings             3.500000
Restaurant_latitude                30.372202
Restaurant_longitude               78.077151
Delivery_location_latitude         30.512202
Delivery_location_longitude        78.217151
Order_Date                        16-02-2022
Time_Orderd                            17:10
Time_Order_picked                      17:15
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 20119, dtype: object
