ID                                      0x965f
Delivery_person_ID             COIMBRES18DEL02
Delivery_person_Age                  23.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.020910
Restaurant_longitude                 76.940432
Delivery_location_latitude           11.070910
Delivery_location_longitude          76.990432
Order_Date                          24-03-2022
Time_Orderd                              18:45
Time_Order_picked                        18:55
Weather conditions                       Windy
Road_traffic_density                    Medium
Vehicle_condition                            2
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     23.000000
Name: 5964, dtype: object
