ID                                    0x9ca1
Delivery_person_ID             MUMRES15DEL01
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                19.176269
Restaurant_longitude               72.836721
Delivery_location_latitude         19.186269
Delivery_location_longitude        72.846721
Order_Date                        15-03-2022
Time_Orderd                             8:40
Time_Order_picked                       8:45
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   24.000000
Name: 28145, dtype: object
