ID                                      0xcb76
Delivery_person_ID             LUDHRES010DEL01
Delivery_person_Age                  24.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  30.892860
Restaurant_longitude                 75.822199
Delivery_location_latitude           31.002860
Delivery_location_longitude          75.932199
Order_Date                          14-02-2022
Time_Orderd                              21:55
Time_Order_picked                        22:10
Weather conditions                      Cloudy
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   2.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     40.000000
Name: 27927, dtype: object
