ID                                    0xd0ca
Delivery_person_ID             DEHRES08DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                30.359722
Restaurant_longitude               78.067079
Delivery_location_latitude         30.399722
Delivery_location_longitude        78.107079
Order_Date                        13-02-2022
Time_Orderd                              NaN
Time_Order_picked                      15:15
Weather conditions                    Stormy
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   37.000000
Name: 5518, dtype: object
