ID                                       0x4df2
Delivery_person_ID                SURRES20DEL03
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   21.152760
Restaurant_longitude                  72.778059
Delivery_location_latitude            21.182760
Delivery_location_longitude           72.808059
Order_Date                           03-03-2022
Time_Orderd                               22:35
Time_Order_picked                         22:40
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      13.000000
Name: 2919, dtype: object
