ID                                    0x859a
Delivery_person_ID             SURRES02DEL02
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                21.186608
Restaurant_longitude               72.794136
Delivery_location_latitude         21.206608
Delivery_location_longitude        72.814136
Order_Date                        21-03-2022
Time_Orderd                             8:45
Time_Order_picked                       8:55
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   11.000000
Name: 23320, dtype: object
