ID                                      0x2fa6
Delivery_person_ID             COIMBRES17DEL02
Delivery_person_Age                  29.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.046117
Delivery_location_longitude          76.964652
Order_Date                          28-03-2022
Time_Orderd                               9:30
Time_Order_picked                         9:40
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     11.000000
Name: 12265, dtype: object
