ID                                    0xd0cb
Delivery_person_ID             KNPRES05DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                26.479108
Restaurant_longitude               80.315042
Delivery_location_latitude         26.539108
Delivery_location_longitude        80.375042
Order_Date                        17-02-2022
Time_Orderd                              NaN
Time_Order_picked                      18:45
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   17.000000
Name: 17146, dtype: object
