ID                                       0xb5d7
Delivery_person_ID              COIMBRES01DEL03
Delivery_person_Age                   34.000000
Delivery_person_Ratings                3.600000
Restaurant_latitude                   11.016298
Restaurant_longitude                  76.972076
Delivery_location_latitude            11.106298
Delivery_location_longitude           77.062076
Order_Date                           06-04-2022
Time_Orderd                               23:35
Time_Order_picked                         23:45
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      31.000000
Name: 3014, dtype: object
