ID                                     0xc0c9
Delivery_person_ID             AURGRES16DEL02
Delivery_person_Age                     21.00
Delivery_person_Ratings                  4.50
Restaurant_latitude                     -0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.02
Delivery_location_longitude              0.02
Order_Date                         11-02-2022
Time_Orderd                              8:30
Time_Order_picked                        8:35
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        13.00
Name: 37178, dtype: object
