ID                                     0xde1d
Delivery_person_ID             AURGRES07DEL02
Delivery_person_Age                 21.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 19.875908
Restaurant_longitude                75.358888
Delivery_location_latitude          19.895908
Delivery_location_longitude         75.378888
Order_Date                         13-02-2022
Time_Orderd                             11:50
Time_Order_picked                       12:05
Weather conditions                        Fog
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    33.000000
Name: 40061, dtype: object
