ID                                      0x278c
Delivery_person_ID             COIMBRES13DEL02
Delivery_person_Age                  26.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  11.003669
Restaurant_longitude                 76.976494
Delivery_location_latitude           11.023669
Delivery_location_longitude          76.996494
Order_Date                          07-03-2022
Time_Orderd                               9:55
Time_Order_picked                        10:05
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     29.000000
Name: 13913, dtype: object
