ID                                    0x4edc
Delivery_person_ID             MUMRES12DEL02
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                19.207222
Restaurant_longitude               72.972281
Delivery_location_latitude         19.257222
Delivery_location_longitude        73.022281
Order_Date                        01-03-2022
Time_Orderd                            22:55
Time_Order_picked                      23:10
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   18.000000
Name: 15602, dtype: object
