ID                                    0xd20f
Delivery_person_ID             ALHRES15DEL03
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                25.449872
Restaurant_longitude               81.836167
Delivery_location_latitude         25.479872
Delivery_location_longitude        81.866167
Order_Date                        13-02-2022
Time_Orderd                            22:30
Time_Order_picked                      22:40
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   19.000000
Name: 20117, dtype: object
