ID                                        0x19ec
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    34.000000
Delivery_person_Ratings                 4.400000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.484422
Delivery_location_longitude            85.462900
Order_Date                            10-03-2022
Time_Orderd                                22:45
Time_Order_picked                          22:60
Weather conditions                        Cloudy
Road_traffic_density                         Low
Vehicle_condition                              0
Type_of_order                             Buffet
Type_of_vehicle                       motorcycle
multiple_deliveries                     2.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       36.000000
Name: 37233, dtype: object
