ID                                    0xc0c4
Delivery_person_ID             KOLRES03DEL01
Delivery_person_Age                24.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude               -22.526461
Restaurant_longitude               88.364453
Delivery_location_latitude         22.596461
Delivery_location_longitude        88.434453
Order_Date                        16-02-2022
Time_Orderd                            19:25
Time_Order_picked                      19:35
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   21.000000
Name: 23106, dtype: object
