ID                                      0x1b37
Delivery_person_ID             COIMBRES15DEL02
Delivery_person_Age                  38.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.006686
Restaurant_longitude                 76.951736
Delivery_location_latitude           11.086686
Delivery_location_longitude          77.031736
Order_Date                          27-03-2022
Time_Orderd                              19:40
Time_Order_picked                        19:55
Weather conditions                      Cloudy
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   3.000000
Festival                                    No
City                                Semi-Urban
Time_taken (min)                     52.000000
Name: 30272, dtype: object
