ID                                      0x1da9
Delivery_person_ID             COIMBRES12DEL02
Delivery_person_Age                  26.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  11.000762
Restaurant_longitude                 76.981876
Delivery_location_latitude           11.050762
Delivery_location_longitude          77.031876
Order_Date                          17-03-2022
Time_Orderd                              23:40
Time_Order_picked                        23:55
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     16.000000
Name: 11563, dtype: object
