ID                                     0x78dc
Delivery_person_ID             BANGRES01DEL01
Delivery_person_Age                 37.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 12.933284
Restaurant_longitude                77.615428
Delivery_location_latitude          12.973284
Delivery_location_longitude         77.655428
Order_Date                         24-03-2022
Time_Orderd                             16:30
Time_Order_picked                       16:40
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    18.000000
Name: 15874, dtype: object
