ID                                    0xa49a
Delivery_person_ID             VADRES11DEL03
Delivery_person_Age                20.000000
Delivery_person_Ratings             3.500000
Restaurant_latitude                22.308096
Restaurant_longitude               73.167753
Delivery_location_latitude         22.338096
Delivery_location_longitude        73.197753
Order_Date                        28-03-2022
Time_Orderd                            21:55
Time_Order_picked                      22:10
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 3.000000
Festival                                 Yes
City                              Semi-Urban
Time_taken (min)                   50.000000
Name: 10595, dtype: object
