ID                                    0xbd07
Delivery_person_ID             JAPRES03DEL01
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                26.913483
Restaurant_longitude               75.803139
Delivery_location_latitude         26.923483
Delivery_location_longitude        75.813139
Order_Date                        07-03-2022
Time_Orderd                            10:60
Time_Order_picked                      11:15
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   18.000000
Name: 27342, dtype: object
