ID                                    0xd5c5
Delivery_person_ID             GOARES15DEL02
Delivery_person_Age                 24.00000
Delivery_person_Ratings              4.60000
Restaurant_latitude                 15.51315
Restaurant_longitude                73.78346
Delivery_location_latitude          15.59315
Delivery_location_longitude         73.86346
Order_Date                        16-02-2022
Time_Orderd                            22:45
Time_Order_picked                      22:60
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                  1.00000
Festival                                  No
City                           Metropolitian
Time_taken (min)                    22.00000
Name: 5891, dtype: object
