ID                                       0xa42c
Delivery_person_ID                HYDRES02DEL02
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   17.412330
Restaurant_longitude                  78.449654
Delivery_location_latitude            17.492330
Delivery_location_longitude           78.529654
Order_Date                           06-04-2022
Time_Orderd                               21:60
Time_Order_picked                         22:15
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 17102, dtype: object
