ID                                       0x3ff6
Delivery_person_ID               PUNERES07DEL03
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   18.546947
Restaurant_longitude                  73.900626
Delivery_location_latitude            18.606947
Delivery_location_longitude           73.960626
Order_Date                           11-03-2022
Time_Orderd                               23:10
Time_Order_picked                         23:15
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      14.000000
Name: 44289, dtype: object
