ID                                       0x704a
Delivery_person_ID               CHENRES02DEL02
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   13.086438
Restaurant_longitude                  80.220672
Delivery_location_latitude            13.216439
Delivery_location_longitude           80.350672
Order_Date                           25-03-2022
Time_Orderd                               21:10
Time_Order_picked                         21:25
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      27.000000
Name: 32945, dtype: object
