ID                                        0x9af
Delivery_person_ID             RANCHIRES12DEL03
Delivery_person_Age                       20.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.09
Delivery_location_longitude                0.09
Order_Date                           04-03-2022
Time_Orderd                               20:25
Time_Order_picked                         20:40
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          24.00
Name: 11401, dtype: object
