ID                                     0xbf4e
Delivery_person_ID             LUDHRES09DEL02
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 30.885814
Restaurant_longitude                75.786976
Delivery_location_latitude          31.015814
Delivery_location_longitude         75.916976
Order_Date                         18-02-2022
Time_Orderd                               NaN
Time_Order_picked                       21:60
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    25.000000
Name: 20616, dtype: object
