ID                                       0x5fc6
Delivery_person_ID             RANCHIRES18DEL02
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   23.351489
Restaurant_longitude                  85.324253
Delivery_location_latitude            23.401489
Delivery_location_longitude           85.374253
Order_Date                           01-03-2022
Time_Orderd                               19:15
Time_Order_picked                         19:20
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      31.000000
Name: 3270, dtype: object
