ID                                    0xcedf
Delivery_person_ID             GOARES15DEL03
Delivery_person_Age                 34.00000
Delivery_person_Ratings              4.80000
Restaurant_latitude                 15.51315
Restaurant_longitude                73.78346
Delivery_location_latitude          15.60315
Delivery_location_longitude         73.87346
Order_Date                        12-02-2022
Time_Orderd                            20:40
Time_Order_picked                      20:50
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                  2.00000
Festival                                  No
City                                     NaN
Time_taken (min)                    45.00000
Name: 8558, dtype: object
