ID                                       0xdd3c
Delivery_person_ID                BHPRES04DEL02
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   23.184992
Restaurant_longitude                  77.417227
Delivery_location_latitude            23.314992
Delivery_location_longitude           77.547227
Order_Date                           14-02-2022
Time_Orderd                               20:50
Time_Order_picked                         20:55
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      21.000000
Name: 44998, dtype: object
