ID                                      0xff0
Delivery_person_ID             BANGRES01DEL01
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 12.933284
Restaurant_longitude                77.615428
Delivery_location_latitude          12.943284
Delivery_location_longitude         77.625428
Order_Date                         11-03-2022
Time_Orderd                             10:55
Time_Order_picked                       11:10
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 20767, dtype: object
