ID                                        0xbdd
Delivery_person_ID                VADRES01DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   22.307898
Restaurant_longitude                  73.167788
Delivery_location_latitude            22.347898
Delivery_location_longitude           73.207788
Order_Date                           26-03-2022
Time_Orderd                               14:30
Time_Order_picked                         14:40
Weather conditions                        Sunny
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 30165, dtype: object
