ID                                        0x6c61
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    24.000000
Delivery_person_Ratings                 4.100000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.434422
Delivery_location_longitude            85.412900
Order_Date                            27-03-2022
Time_Orderd                                20:40
Time_Order_picked                          20:55
Weather conditions                           Fog
Road_traffic_density                         Jam
Vehicle_condition                              1
Type_of_order                             Buffet
Type_of_vehicle                          scooter
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       43.000000
Name: 43343, dtype: object
