ID                                    0xdfc2
Delivery_person_ID             KOCRES18DEL03
Delivery_person_Age                35.000000
Delivery_person_Ratings             3.700000
Restaurant_latitude                 9.957144
Restaurant_longitude               76.296783
Delivery_location_latitude         10.047144
Delivery_location_longitude        76.386783
Order_Date                        12-02-2022
Time_Orderd                            19:55
Time_Order_picked                      20:10
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 44692, dtype: object
