ID                                     0xc05a
Delivery_person_ID             LUDHRES16DEL01
Delivery_person_Age                 30.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                -30.895817
Restaurant_longitude                75.813112
Delivery_location_latitude          31.005817
Delivery_location_longitude         75.923112
Order_Date                         18-02-2022
Time_Orderd                             23:55
Time_Order_picked                       23:60
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 12614, dtype: object
