ID                                        0x8db
Delivery_person_ID               INDORES15DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   22.760072
Restaurant_longitude                  75.892574
Delivery_location_latitude            22.850072
Delivery_location_longitude           75.982574
Order_Date                           08-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         23:45
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      27.000000
Name: 45552, dtype: object
