ID                                       0xc244
Delivery_person_ID                GOARES05DEL03
Delivery_person_Age                       35.00
Delivery_person_Ratings                    4.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.06
Delivery_location_longitude                0.06
Order_Date                           13-02-2022
Time_Orderd                               20:10
Time_Order_picked                         20:15
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          29.00
Name: 7764, dtype: object
