ID                                    0x2af4
Delivery_person_ID             HYDRES02DEL02
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                17.412330
Restaurant_longitude               78.449654
Delivery_location_latitude         17.432330
Delivery_location_longitude        78.469654
Order_Date                        05-03-2022
Time_Orderd                             9:30
Time_Order_picked                       9:40
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   19.000000
Name: 43794, dtype: object
