ID                                       0xc67b
Delivery_person_ID                KNPRES13DEL01
Delivery_person_Age                   26.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   26.481547
Restaurant_longitude                  80.299775
Delivery_location_latitude            26.551547
Delivery_location_longitude           80.369775
Order_Date                           16-02-2022
Time_Orderd                               18:60
Time_Order_picked                         19:10
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      28.000000
Name: 45305, dtype: object
