ID                                       0x22cb
Delivery_person_ID             RANCHIRES06DEL03
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   23.357804
Restaurant_longitude                  85.325146
Delivery_location_latitude            23.387804
Delivery_location_longitude           85.355146
Order_Date                           01-04-2022
Time_Orderd                               20:20
Time_Order_picked                         20:30
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      20.000000
Name: 20255, dtype: object
