ID                                       0xc71d
Delivery_person_ID                DEHRES06DEL01
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   30.361281
Restaurant_longitude                  78.068022
Delivery_location_latitude            30.431281
Delivery_location_longitude           78.138022
Order_Date                           18-02-2022
Time_Orderd                               20:10
Time_Order_picked                         20:15
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      14.000000
Name: 18301, dtype: object
