ID                                     0xba75
Delivery_person_ID             CHENRES17DEL02
Delivery_person_Age                 21.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 13.045479
Restaurant_longitude                80.233110
Delivery_location_latitude          13.065479
Delivery_location_longitude         80.253110
Order_Date                         03-03-2022
Time_Orderd                             11:35
Time_Order_picked                       11:40
Weather conditions                     Stormy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    38.000000
Name: 43113, dtype: object
