ID                                    0xca7a
Delivery_person_ID             ALHRES12DEL03
Delivery_person_Age                22.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                25.443994
Restaurant_longitude               81.860187
Delivery_location_latitude         25.583994
Delivery_location_longitude        82.000187
Order_Date                        12-02-2022
Time_Orderd                            22:10
Time_Order_picked                      22:15
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   12.000000
Name: 24136, dtype: object
