ID                                    0xc4f6
Delivery_person_ID             AGRRES20DEL01
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                27.158822
Restaurant_longitude               78.045359
Delivery_location_latitude         27.198822
Delivery_location_longitude        78.085359
Order_Date                        13-02-2022
Time_Orderd                            13:40
Time_Order_picked                      13:45
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   21.000000
Name: 39428, dtype: object
