ID                                       0xe71
Delivery_person_ID             COIMBRES18DEL02
Delivery_person_Age                        NaN
Delivery_person_Ratings                    NaN
Restaurant_latitude                  11.020910
Restaurant_longitude                 76.940432
Delivery_location_latitude           11.070910
Delivery_location_longitude          76.990432
Order_Date                          13-03-2022
Time_Orderd                                NaN
Time_Order_picked                        22:55
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     19.000000
Name: 12261, dtype: object
