ID                                    0xc5c2
Delivery_person_ID             KOCRES07DEL01
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                 9.985697
Restaurant_longitude               76.281128
Delivery_location_latitude          9.995697
Delivery_location_longitude        76.291128
Order_Date                        13-02-2022
Time_Orderd                             8:20
Time_Order_picked                       8:30
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   18.000000
Name: 13939, dtype: object
