ID                                       0xd6fd
Delivery_person_ID                AGRRES09DEL03
Delivery_person_Age                       30.00
Delivery_person_Ratings                    4.80
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.06
Delivery_location_longitude                0.06
Order_Date                           11-02-2022
Time_Orderd                               18:45
Time_Order_picked                         18:55
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          25.00
Name: 28217, dtype: object
