ID                                    0xde5f
Delivery_person_ID             DEHRES09DEL03
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                30.332735
Restaurant_longitude               78.054222
Delivery_location_latitude         30.392735
Delivery_location_longitude        78.114222
Order_Date                        11-02-2022
Time_Orderd                            23:10
Time_Order_picked                      23:25
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   27.000000
Name: 17219, dtype: object
